iter	Passed	Remaining
0	2	2288
1	5	2721
2	7	2463
3	14	3493
4	15	3126
5	17	2853
6	18	2645
7	21	2662
8	23	2541
9	27	2744
10	30	2748
11	32	2650
12	33	2557
13	35	2486
14	37	2463
15	45	2792
16	48	2784
17	51	2801
18	57	2990
19	61	3027
20	64	2986
21	66	2952
22	76	3240
23	78	3187
24	81	3173
25	91	3430
26	95	3432
27	98	3427
28	101	3382
29	107	3484
30	113	3553
31	127	3869
32	132	3891
33	138	3939
34	142	3930
35	148	3979
36	156	4065
37	158	4020
38	164	4050
39	173	4153
40	176	4116
41	178	4071
42	186	4155
43	189	4115
44	191	4072
45	194	4034
46	204	4141
47	206	4095
48	210	4086
49	217	4138
50	222	4132
51	231	4222
52	236	4221
53	239	4194
54	241	4153
55	247	4177
56	251	4155
57	255	4157
58	263	4195
59	270	4237
60	273	4214
61	276	4175
62	278	4139
63	282	4132
64	289	4162
65	292	4137
66	294	4106
67	303	4156
68	307	4145
69	310	4121
70	316	4139
71	318	4108
72	323	4108
73	378	4741
74	382	4720
75	385	4692
76	388	4660
77	391	4621
78	402	4689
79	404	4651
80	413	4695
81	419	4701
82	421	4652
83	424	4625
84	426	4592
85	429	4563
86	435	4565
87	437	4533
88	439	4502
89	442	4471
90	444	4435
91	449	4435
92	451	4400
93	453	4366
94	454	4330
95	456	4297
96	457	4262
97	459	4230
98	465	4235
99	468	4216
100	473	4215
101	482	4244
102	485	4230
103	491	4231
104	500	4268
105	503	4246
106	505	4215
107	507	4187
108	514	4206
109	516	4181
110	518	4153
111	520	4130
112	525	4125
113	529	4112
114	533	4108
115	536	4088
116	543	4099
117	546	4083
118	548	4059
119	551	4040
120	552	4015
121	557	4013
122	559	3991
123	561	3966
124	562	3940
125	566	3926
126	572	3935
127	575	3920
128	577	3897
129	578	3873
130	581	3854
131	582	3831
132	584	3810
133	586	3790
134	588	3768
135	590	3748
136	591	3726
137	598	3737
138	600	3721
139	602	3702
140	604	3683
141	606	3662
142	607	3642
143	614	3651
144	619	3651
145	621	3632
146	623	3615
147	630	3627
148	635	3628
149	637	3613
150	639	3595
151	642	3586
152	645	3571
153	647	3557
154	649	3539
155	650	3520
156	657	3528
157	659	3513
158	661	3496
159	662	3479
160	663	3459
161	665	3441
162	673	3456
163	675	3441
164	676	3424
165	678	3407
166	679	3390
167	681	3373
168	687	3381
169	689	3367
170	691	3350
171	692	3335
172	694	3318
173	695	3302
174	698	3293
175	701	3286
176	703	3270
177	704	3255
178	706	3240
179	708	3226
180	714	3232
181	716	3222
182	718	3207
183	719	3192
184	721	3178
185	723	3164
186	724	3150
187	727	3142
188	730	3136
189	732	3122
190	734	3108
191	735	3095
192	737	3082
193	738	3068
194	739	3054
195	745	3056
196	748	3049
197	750	3039
198	752	3026
199	753	3014
200	755	3001
201	762	3011
202	764	2999
203	765	2987
204	767	2974
205	768	2962
206	770	2951
207	775	2951
208	778	2946
209	780	2934
210	781	2922
211	783	2911
212	784	2900
213	786	2888
214	794	2902
215	796	2890
216	798	2880
217	799	2869
218	801	2857
219	806	2860
220	809	2852
221	810	2841
222	812	2831
223	814	2820
224	815	2809
225	817	2798
226	829	2823
227	831	2816
228	836	2815
229	838	2808
230	840	2799
231	842	2788
232	844	2778
233	845	2768
234	847	2758
235	851	2758
236	853	2748
237	855	2738
238	857	2729
239	858	2719
240	868	2734
241	870	2727
242	872	2718
243	874	2710
244	884	2725
245	887	2718
246	888	2710
247	890	2701
248	897	2706
249	899	2697
250	901	2688
251	902	2678
252	909	2684
253	911	2676
254	912	2666
255	914	2656
256	915	2647
257	917	2638
258	922	2639
259	926	2636
260	928	2627
261	929	2618
262	931	2611
263	933	2601
264	940	2608
265	942	2599
266	944	2592
267	946	2585
268	948	2576
269	956	2585
270	957	2576
271	959	2568
272	961	2559
273	962	2550
274	970	2557
275	971	2549
276	973	2540
277	975	2532
278	976	2524
279	978	2515
280	985	2520
281	986	2512
282	988	2504
283	990	2495
284	991	2487
285	993	2479
286	1001	2487
287	1002	2479
288	1004	2472
289	1006	2465
290	1008	2457
291	1018	2469
292	1020	2461
293	1022	2454
294	1023	2446
295	1030	2451
296	1033	2446
297	1035	2438
298	1036	2430
299	1038	2422
300	1042	2421
301	1048	2423
302	1050	2416
303	1052	2409
304	1054	2402
305	1059	2403
306	1063	2401
307	1065	2393
308	1066	2385
309	1068	2377
310	1070	2370
311	1078	2378
312	1080	2372
313	1082	2365
314	1084	2359
315	1086	2351
316	1090	2349
317	1092	2342
318	1093	2335
319	1096	2329
320	1101	2330
321	1105	2327
322	1106	2320
323	1108	2312
324	1110	2305
325	1111	2297
326	1119	2303
327	1121	2297
328	1123	2290
329	1124	2283
330	1126	2277
331	1134	2282
332	1137	2277
333	1139	2271
334	1140	2264
335	1142	2258
336	1154	2271
337	1157	2266
338	1159	2260
339	1165	2263
340	1169	2260
341	1171	2253
342	1172	2246
343	1174	2239
344	1181	2243
345	1183	2237
346	1185	2230
347	1186	2223
348	1189	2218
349	1197	2223
350	1200	2220
351	1203	2214
352	1204	2207
